Tree #,Month,Cone Stage,Scale Thickness (mm),Seed #,Conopthorus sp. (Beetle larva) ,Megastigmus (Wasp),Midge,Pinyon bore moth,Spider ,Unknown Seed insect,Comments,name,Cone Stage,,1,Young small cones,,,,,,,,,,,,,,
6,January,1,4,0,2,1,0,0,1,0,Lots of beetle wings/parts in frass. 1 full beetle. spider silk and parts,MBF,,,,,,,,,,,,,,,,,,
6,January,1,2.5,1,0,2,0,0,0,0,2 little bundles of tiny pink eggs. one was laid on a seed.,MBF,,,,,,,,,,,,,,,,,,
6,January,1,4,3,2,3,0,0,0,0,Sap found in the seeds where the beetles were. found 3 bundles of pink eggs,MBF,,,,,,,,,,,,,,,,,,
2,January,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
2,January,3,6,0,0,0,0,0,1,0,spider,MBF,,,,,,,,,,,,,,,,,,
2,January,3,4.5,0,1,0,0,0,1,0,beetle was in spider nest. big beetle,MBF,,,,,,,,,,,,,,,,,,
2,January,2,5,0,0,2,0,0,1,0,silk and 2 pink egg nest...spider eggs?,MBF,,,,,,,,,,,,,,,,,,
2,January,2,6,2,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
2,January,2,4,2,0,0,0,0,0,0,silk present,MBF,,,,,,,,,,,,,,,,,,
4,January,3,3,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
4,January,2,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
4,January,2,4.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
4,January,2,4,1,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
4,January,2,6,1,0,1,0,0,0,0,silk present,SI,,,,,,,,,,,,,,,,,,
4,January,3,4.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
14,January,2,6.5,0,1,1,0,0,0,0,Silk and frass present,SI,,,,,,,,,,,,,,,,,,
14,January,2,5.5,0,0,1,0,0,0,0,silk present,SI,,,,,,,,,,,,,,,,,,
14,January,2,6,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
14,January,3,4.5,0,1,0,0,0,0,0,bore holes throughout cone,SI,,,,,,,,,,,,,,,,,,
14,January,1,3,1,1,1,0,0,0,0,"silk, bore holes, center of cone was full of frass",SI,,,,,,,,,,,,,,,,,,
14,January,1,3.5,13,1,0,0,0,0,0,"Possibly a beetle found? Bore holes, all seeds contained frass.",SI,,,,,,,,,,,,,,,,,,
10,February ,1,5,0,1,0,0,0,0,0,beetle found and lots of frass,SI,,,,,,,,,,,,,,,,,,
10,February ,2,7,1,0,1,0,0,0,0,silk found,SI,,,,,,,,,,,,,,,,,,
10,February,3,4,0,0,0,0,0,0,0,lots of sap,SI,,,,,,,,,,,,,,,,,,
10,February,1,3.5,0,1,1,0,0,0,0,perhaps a cocoon ,SI,,,,,,,,,,,,,,,,,,
10,February,3,4,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
10,February,2,6.5,3,0,1,0,0,0,0,silk found and non viable seeds,SI,,,,,,,,,,,,,,,,,,
9,February,2,6,0,0,0,0,0,0,0,bore holes found,SI,,,,,,,,,,,,,,,,,,
9,February,3,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
9,February,2,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
9,February,2,5,3,1,0,0,0,0,0,Bore holes all over. One in seed and was full of frass. 1 of 3 seeds was not developed,SI,,,,,,,,,,,,,,,,,,
9,February,1,2.5,0,1,0,0,0,0,0,Lots of frass and bore holes,SI,,,,,,,,,,,,,,,,,,
9,February,3,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
8,February,3,5.5,0,0,0,0,0,0,0,Bore holes,SI,,,,,,,,,,,,,,,,,,
8,February,2,4,1,1,0,0,0,0,0,A lot of frass,SI,,,,,,,,,,,,,,,,,,
8,February,2,3.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
8,February,2,4,0,0,1,0,0,0,0,silk  found,SI,,,,,,,,,,,,,,,,,,
8,February,3,3,4,0,1,0,0,0,0,silk found externally. 3 nonviable seeds. Frass throughout ,SI,,,,,,,,,,,,,,,,,,
8,February,1,4,7,1,0,0,0,0,0,"Loose seed in bag and a beetle inside. silk, frass, dark sap in the bottom",SI,,,,,,,,,,,,,,,,,,
7,February,2,6,3,0,0,0,0,0,0,Nonviable seeds,SI,,,,,,,,,,,,,,,,,,
7,February,2,7.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
7,February,2,4.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
7,February,3,5.5,1,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
7,February,3,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
7,February,3,5,0,0,0,0,0,0,0,Very dry and brittle,SI,,,,,,,,,,,,,,,,,,
6,February,2,5,0,0,0,0,0,0,1,Insect found?,SI,,,,,,,,,,,,,,,,,,
6,February,3,5.5,2,0,1,0,0,0,0,Silk found and nonviable seeds,SI,,,,,,,,,,,,,,,,,,
6,February,2,4.5,3,0,0,0,0,0,0,2 nonviable seed,SI,,,,,,,,,,,,,,,,,,
6,February,1,4,3,0,1,0,0,0,0,Silk found and eaten seeds,SI,,,,,,,,,,,,,,,,,,
6,February,1,3,0,2,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
6,February,1,5,0,1,1,1,0,0,0,silk and maybe an ant found?,SI,,,,,,,,,,,,,,,,,,
5,February,2,4.5,4,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
5,February,3,5,1,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
5,February,2,4,6,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
5,February,3,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
5,February,1,2.5,0,1,0,0,0,0,0,Bore holes and dark orange frass,SI,,,,,,,,,,,,,,,,,,
5,February,2,4,7,0,0,0,0,0,0,5nonviable seeds,SI,,,,,,,,,,,,,,,,,,
4,February,3,6,0,0,1,0,0,0,0,Silk present,SI,,,,,,,,,,,,,,,,,,
4,February,2,3,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
4,February,3,5,0,0,0,0,0,0,0,silk,SI,,,,,,,,,,,,,,,,,,
4,February,2,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
4,February,1,3,1,0,1,0,0,0,0,egg/cocoon found ,SI,,,,,,,,,,,,,,,,,,
4,February,2,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
19,February,3,3,0,0,1,0,0,0,0,silk/cocoon,MBF,,,,,,,,,,,,,,,,,,
19,February,2,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
19,February,2,4,1,0,2,1,0,0,0,2 egg bundles. 1 had white eggs. 2nd had tiny brown/tan larvae,MBF,,,,,,,,,,,,,,,,,,
19,February,2,4.5,2,1,5,0,0,0,0,"1 egg bundle. 4 eggs or tiny cocoons, 2 additional nonviable seeds",MBF,,,,,,,,,,,,,,,,,,
19,February,1,5,4,0,2,1,0,1,0,"1 spider, 2 egg bundles, 1 winged insect",MBF,,,,,,,,,,,,,,,,,,
19,February,1,3,0,2,1,0,0,0,0,"2 beetle parts, 1 egg bundle, lots of frass",MBF,,,,,,,,,,,,,,,,,,
3,February,2,7,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
3,February,3,6,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
3,February,3,5.5,0,0,0,0,0,0,0,silk found throughout,SI,,,,,,,,,,,,,,,,,,
3,February,2,6,5,0,0,0,0,0,0,3 out of 5 seeds nonviable ,SI,,,,,,,,,,,,,,,,,,
3,February,2,4.5,2,0,0,0,0,0,0,One bore hole on cone and small amount of frass,SI,,,,,,,,,,,,,,,,,,
3,February,3,5.5,0,0,0,0,0,0,0,Extremely dry cone,SI,,,,,,,,,,,,,,,,,,
20,February,3,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
20,February,2,4.5,2,0,0,0,0,0,0,2nonviable seeds,SI,,,,,,,,,,,,,,,,,,
20,February,2,7,7,0,1,0,0,0,0,silk present near base,SI,,,,,,,,,,,,,,,,,,
20,February,3,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
20,February,1,6,12,1,0,0,0,0,0,"Bore holes in seeds. Frass, but no insect found",SI,,,,,,,,,,,,,,,,,,
20,February,1,5,7,1,0,0,0,0,0,Lots of frass internally. No insects found,SI,,,,,,,,,,,,,,,,,,
2,February,3,4.5,2,0,0,0,0,0,0,Some frass near center,SI,,,,,,,,,,,,,,,,,,
2,February,2,5,1,0,0,0,0,0,0,Silk,SI,,,,,,,,,,,,,,,,,,
2,February,2,5.5,2,0,0,0,0,0,0,Seeds nonviable ,SI,,,,,,,,,,,,,,,,,,
2,February,3,6.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
2,February,3,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
2,February,2,4,3,0,0,0,0,0,0,Nonviable seeds,SI,,,,,,,,,,,,,,,,,,
21,February,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
21,February,3,4.5,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
